No.,Product,Price,Image,WebPage
1,Apple 128GB iPhone 15 5G BLACK,17499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/11629/17207630106690c282f0044.jpeg,https://www.satozim.co.zw/products/apple-128gb-iphone-15-5g-black
2,Apple 64GB iPhone 12 BLACK,12499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/11340/170702637565bf27c73c932.jpeg,https://www.satozim.co.zw/products/apple-64gb-iphone-12-black
3,Apple  256GB  iPhone 14 Pro  Space Black ,19799.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/11249/17024858196579df3b80e04.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-14-pro-space-black
4,Apple  1TB  iPhone 14 Pro Max  Gold ,43999.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/11206/17001966066556f0fe3e98b.jpeg,https://www.satozim.co.zw/products/apple-1tb-iphone-14-pro-max-gold
5,Apple  256GB  iPhone 14 Pro  Gold ,29499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/11205/17001965696556f0d90205e.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-14-pro-gold
6,Apple 128GB iPhone 13 Blue,18299.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/11165/16993324956549c18fc1b27.jpeg,https://www.satozim.co.zw/products/apple-128gb-iphone-13-blue
7,Apple 512GB iPhone 15 Plus GREEN,31499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10351/16970515796526f3bb614c4.jpeg,https://www.satozim.co.zw/products/apple-512gb-iphone-15-plus-green
8,Apple iPhone 15 Pro Max 15 PRO MAX,36999.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10350/16970515766526f3b82f569.jpeg,https://www.satozim.co.zw/products/apple-512gb-iphone-15-pro-max-blue-titanium
9,Apple 512GB iPhone 15 Pro Max Black Titanium,36999.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10349/16970515696526f3b1efd11.jpeg,https://www.satozim.co.zw/products/apple-512gb-iphone-15-pro-max-black-titanium
10,Apple iPhone 15 Pro Max 15 PRO MAX,36999.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10348/16970515666526f3aec6fa4.jpeg,https://www.satozim.co.zw/products/apple-512gb-iphone-15-pro-max-natural-titanium
11,Apple iPhone 15 Pro Max 15 PRO MAX,42799.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10347/16970515616526f3a9290e8.jpeg,https://www.satozim.co.zw/products/apple-1tb-iphone-15-pro-max-black-titanium
12,Apple iPhone 15 Pro Max 15 PRO MAX,42799.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10346/16970515566526f3a464f1e.jpeg,https://www.satozim.co.zw/products/apple-1tb-iphone-15-pro-max-natural-titanium
13,Apple 256GB iPhone 15 Pro Max Black Titanium,31499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10345/16970515516526f39f58899.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-15-pro-max-black-titanium
14,Apple 256GB iPhone 15 Pro Max Natural Titanium,31499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10344/16970515466526f39ae8d32.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-15-pro-max-natural-titanium
15,Apple iPhone 15 Pro Max 15 PRO MAX,36999.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10343/16970515416526f395defaa.jpeg,https://www.satozim.co.zw/products/apple-512gb-iphone-15-pro-max-white-titanium
16,Apple iPhone 15 Pro Max 15 PRO MAX,31499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10342/16970515376526f3918d4b2.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-15-pro-max-white-titanium
17,Apple iPhone 15 Pro Max,42799.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10341/16970515326526f38c75c06.jpeg,https://www.satozim.co.zw/products/apple-1tb-iphone-15-pro-max-white-titanium
18,Apple iPhone 15 Pro BLACK TITANIUM,34199.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10340/16970515276526f387c38ce.jpeg,https://www.satozim.co.zw/products/apple-512gb-iphone-15-pro-black-titanium
19,Apple iPhone 15 Pro,28599.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10339/16970515236526f383a69ff.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-15-pro-natural-titanium
20,Apple 256GB iPhone 15 Pro Max Blue Titanium,31499.00,https://cmedia1.nyc3.digitaloceanspaces.com/237/product_images/10338/16970515186526f37eb2b3b.jpeg,https://www.satozim.co.zw/products/apple-256gb-iphone-15-pro-max-blue-titanium
